rank	bigram	count	percent
718	шж	5700	0.009332
719	im	5674	0.009290
720	өэ	5628	0.009215
721	дк	5614	0.009192
722	rm	5611	0.009187
723	ot	5539	0.009069
724	ям	5525	0.009046
725	ьа	5524	0.009044
726	вө	5496	0.008998
727	рв	5468	0.008953
728	хи	5436	0.008900
729	яж	5423	0.008879
730	yu	5374	0.008799
731	өо	5354	0.008766
732	эб	5344	0.008750
733	ev	5331	0.008728
734	ее	5324	0.008717
735	юс	5266	0.008622
736	оф	5179	0.008479
737	вн	5173	0.008470
738	ңу	5145	0.008424
739	вп	5136	0.008409
740	ks	5106	0.008360
741	йп	5094	0.008340
742	кф	5094	0.008340
743	аы	5088	0.008330
744	eк	5086	0.008327
745	ьк	5038	0.008249
746	yp	5036	0.008245
747	уф	4990	0.008170
748	уй	4988	0.008167
749	хн	4944	0.008095
750	gi	4933	0.008077
751	аү	4932	0.008075
752	сд	4925	0.008064
753	кз	4881	0.007992
754	ья	4867	0.007969
755	ay	4757	0.007788
756	лр	4744	0.007767
757	бю	4737	0.007756
758	сж	4701	0.007697
759	йэ	4700	0.007695
760	rs	4694	0.007685
761	зн	4691	0.007680
762	so	4668	0.007643
763	ae	4652	0.007617
764	кг	4627	0.007576
765	ое	4600	0.007531
766	мш	4568	0.007479
767	хм	4552	0.007453
768	хо	4511	0.007386
769	уң	4466	0.007312
770	iz	4459	0.007301
771	yр	4443	0.007274
772	зэ	4417	0.007232
773	оө	4414	0.007227
774	km	4398	0.007201
775	гэ	4306	0.007050
776	ыү	4259	0.006973
777	ву	4237	0.006937
778	ng	4205	0.006885
779	юд	4187	0.006855
780	ыф	4161	0.006813
781	og	4144	0.006785
782	фт	4142	0.006782
783	nm	4090	0.006696
784	тш	4082	0.006683
785	жм	4070	0.006664
786	ep	4069	0.006662
787	ym	4045	0.006623
788	sк	4001	0.006551
789	zs	3933	0.006439
790	вэ	3925	0.006426
791	pr	3920	0.006418
792	yи	3884	0.006359
793	бш	3872	0.006340
794	оэ	3871	0.006338
795	ңс	3866	0.006330
796	ых	3851	0.006305
797	ух	3831	0.006272
798	pt	3808	0.006235
799	дэ	3806	0.006231
800	их	3805	0.006230
801	jt	3791	0.006207
802	ыы	3775	0.006181
803	тu	3773	0.006177
804	av	3766	0.006166
805	фу	3754	0.006146
806	дв	3727	0.006102
807	нь	3629	0.005942
808	аt	3620	0.005927
809	mk	3601	0.005896
810	ыв	3601	0.005896
811	дп	3590	0.005878
812	рх	3590	0.005878
813	kc	3589	0.005876
814	шд	3587	0.005873
815	eа	3556	0.005822
816	rb	3555	0.005820
817	um	3515	0.005755
818	тt	3505	0.005739
819	gг	3492	0.005717
820	lk	3492	0.005717
821	ьт	3489	0.005712
822	йу	3481	0.005699
823	лэ	3472	0.005685
824	мр	3444	0.005639
825	ңб	3426	0.005609
826	ec	3410	0.005583
827	ai	3383	0.005539
828	md	3340	0.005468
829	sб	3325	0.005444
830	eб	3307	0.005414
831	jy	3292	0.005390
832	gu	3287	0.005382
833	вш	3283	0.005375
834	vd	3264	0.005344
835	ub	3260	0.005337
836	hn	3258	0.005334
837	үң	3248	0.005318
838	yg	3237	0.005300
839	oy	3232	0.005292
840	yэ	3211	0.005257
841	va	3201	0.005241
842	ao	3197	0.005234
843	jl	3185	0.005215
844	sа	3183	0.005211
845	uz	3182	0.005210
846	ez	3136	0.005134
847	иu	3126	0.005118
848	уu	3117	0.005103
849	up	3075	0.005035
850	eg	3055	0.005002
851	zi	3053	0.004999
852	ью	3015	0.004936
853	ip	3007	0.004923
854	дс	2990	0.004895
855	yм	2973	0.004868
856	ig	2955	0.004838
857	mb	2950	0.004830
858	oc	2939	0.004812
859	yb	2931	0.004799
860	lt	2910	0.004764
861	ъе	2904	0.004755
862	вл	2867	0.004694
863	тф	2865	0.004691
864	жд	2825	0.004625
865	rn	2821	0.004619
866	mo	2811	0.004602
867	zm	2807	0.004596
868	ee	2802	0.004588
869	ңт	2800	0.004584
870	ея	2798	0.004581
871	чб	2791	0.004570
872	ie	2779	0.004550
873	ыa	2773	0.004540
874	mu	2763	0.004524
875	bu	2759	0.004517
876	яa	2757	0.004514
877	ve	2744	0.004493
878	гг	2735	0.004478
879	my	2727	0.004465
880	ug	2717	0.004448
881	яз	2716	0.004447
882	яч	2703	0.004426
883	eb	2700	0.004421
