rank	trigram	count	percent
551	шат	19857	0.047091
552	апт	19812	0.046984
553	биш	19768	0.046880
554	изи	19762	0.046865
555	рна	19753	0.046844
556	эсе	19704	0.046728
557	кча	19701	0.046721
558	рул	19629	0.046550
559	таа	19598	0.046476
560	ызы	19541	0.046341
561	оми	19460	0.046149
562	тия	19435	0.046090
563	алм	19426	0.046069
564	рук	19394	0.045993
565	апа	19331	0.045843
566	акс	19320	0.045817
567	рап	19315	0.045805
568	айо	19313	0.045801
569	гүн	19284	0.045732
570	тир	19281	0.045725
571	үүг	19262	0.045680
572	нуу	19225	0.045592
573	аан	19213	0.045563
574	сөт	19196	0.045523
575	мый	19173	0.045469
576	өгө	19153	0.045421
577	амб	19053	0.045184
578	сүр	19050	0.045177
579	йон	19040	0.045153
580	згө	19037	0.045146
581	чил	19023	0.045113
582	ыйз	19001	0.045061
583	еди	18990	0.045035
584	чал	18981	0.045013
585	чеч	18968	0.044982
586	ене	18838	0.044674
587	ндо	18824	0.044641
588	трл	18823	0.044639
589	мпа	18763	0.044496
590	бою	18762	0.044494
591	акч	18651	0.044231
592	кош	18611	0.044136
593	кең	18551	0.043994
594	оог	18502	0.043877
595	мед	18380	0.043588
596	мба	18355	0.043529
597	рил	18250	0.043280
598	нат	18183	0.043121
599	кук	18164	0.043076
600	дөг	18144	0.043028
601	сүн	18128	0.042990
602	өнд	18104	0.042933
603	ачы	18094	0.042910
604	мит	18092	0.042905
605	ева	17981	0.042642
606	өкм	17971	0.042618
607	ари	17967	0.042609
608	ака	17957	0.042585
609	йры	17882	0.042407
610	ошо	17882	0.042407
611	рым	17867	0.042371
612	чур	17857	0.042348
613	ичи	17851	0.042333
614	маг	17830	0.042284
615	быз	17785	0.042177
616	ске	17785	0.042177
617	лет	17751	0.042096
618	ато	17741	0.042073
619	көз	17738	0.042066
620	рып	17719	0.042020
621	руп	17697	0.041968
622	пор	17688	0.041947
623	чин	17636	0.041824
624	рбо	17619	0.041783
625	урд	17555	0.041632
626	орб	17546	0.041610
627	екс	17539	0.041594
628	жур	17533	0.041579
629	еми	17523	0.041556
630	кум	17505	0.041513
631	ырк	17480	0.041454
632	ирү	17477	0.041447
633	ару	17458	0.041401
634	таж	17364	0.041179
635	мун	17347	0.041138
636	тег	17277	0.040972
637	здө	17261	0.040934
638	йып	17246	0.040899
639	нбе	17223	0.040844
640	жый	17196	0.040780
641	абд	17186	0.040756
642	чак	17180	0.040742
643	тяб	17173	0.040726
644	өрт	17161	0.040697
645	рон	17130	0.040624
646	мур	17052	0.040439
647	лип	16998	0.040311
648	көл	16978	0.040263
649	жан	16943	0.040180
650	мди	16909	0.040100
651	еңе	16895	0.040066
652	дуу	16883	0.040038
653	тет	16848	0.039955
654	дөн	16831	0.039915
655	сеп	16831	0.039915
656	лов	16810	0.039865
657	ыра	16761	0.039749
658	ошу	16759	0.039744
659	юнч	16755	0.039734
660	акц	16708	0.039623
661	инг	16697	0.039597
662	дег	16691	0.039583
663	боо	16650	0.039485
664	куу	16648	0.039481
665	ано	16641	0.039464
666	аке	16630	0.039438
667	ема	16593	0.039350
668	шүн	16577	0.039312
669	укм	16573	0.039303
670	дор	16564	0.039281
671	нти	16554	0.039258
672	лие	16521	0.039179
673	яда	16513	0.039160
674	ыша	16506	0.039144
675	збе	16474	0.039068
676	үүл	16468	0.039054
677	өтт	16446	0.039002
678	алт	16424	0.038949
679	лис	16423	0.038947
680	рип	16422	0.038945
681	ире	16375	0.038833
682	так	16364	0.038807
683	брд	16329	0.038724
684	лим	16325	0.038715
685	она	16320	0.038703
686	кын	16301	0.038658
687	ими	16288	0.038627
688	үчү	16272	0.038589
689	нег	16265	0.038572
690	зүн	16262	0.038565
691	жум	16223	0.038473
692	омд	16198	0.038413
693	баг	16194	0.038404
694	йин	16194	0.038404
695	шын	16165	0.038335
696	мөт	16155	0.038311
697	лүк	16152	0.038304
698	өкү	16145	0.038288
699	дүн	16139	0.038273
700	кмө	16122	0.038233
701	уси	16049	0.038060
702	ион	15948	0.037821
703	лгө	15929	0.037775
704	дей	15871	0.037638
705	йга	15863	0.037619
706	жас	15857	0.037605
707	айг	15850	0.037588
708	аша	15681	0.037187
709	рад	15674	0.037171
710	кмк	15577	0.036941
711	бул	15572	0.036929
712	урн	15557	0.036893
713	лиш	15556	0.036891
714	ийи	15554	0.036886
715	йта	15524	0.036815
716	ңеш	15509	0.036779
717	ерс	15438	0.036611
718	йык	15437	0.036609
719	гоо	15431	0.036594
720	зыр	15416	0.036559
721	йтк	15416	0.036559
722	ияд	15400	0.036521
723	рес	15395	0.036509
724	кад	15389	0.036495
725	суу	15384	0.036483
726	ити	15379	0.036471
727	өтө	15355	0.036414
728	тол	15352	0.036407
729	апк	15349	0.036400
730	авт	15313	0.036315
731	төө	15298	0.036279
732	кый	15273	0.036220
733	тил	15252	0.036170
734	зак	15233	0.036125
735	вто	15140	0.035904
736	каз	15139	0.035902
737	сиз	15137	0.035897
738	үүн	15136	0.035895
739	жоо	15123	0.035864
740	лин	15116	0.035847
741	өнө	15063	0.035722
742	яга	15047	0.035684
743	нты	15038	0.035662
744	утт	14982	0.035530
745	зда	14970	0.035501
746	үлг	14945	0.035442
747	инч	14920	0.035383
748	чүл	14849	0.035214
749	нар	14841	0.035195
750	өдө	14831	0.035172
751	нас	14823	0.035153
752	лбе	14814	0.035131
753	күл	14764	0.035013
754	ылм	14754	0.034989
755	улг	14722	0.034913
756	сту	14708	0.034880
757	лаг	14706	0.034875
758	рок	14676	0.034804
759	сел	14647	0.034735
760	буз	14578	0.034572
761	пке	14574	0.034562
762	сая	14542	0.034486
763	жаб	14538	0.034477
764	өзг	14508	0.034406
765	кий	14483	0.034346
766	ешт	14417	0.034190
767	зде	14414	0.034183
768	ымд	14411	0.034176
769	ынг	14409	0.034171
770	ыру	14379	0.034100
771	ука	14368	0.034074
772	сар	14341	0.034010
773	чар	14330	0.033983
774	йлө	14314	0.033946
775	рбе	14291	0.033891
776	ттү	14286	0.033879
777	бад	14285	0.033877
778	дем	14276	0.033855
779	раи	14273	0.033848
780	каг	14243	0.033777
781	тив	14145	0.033545
782	экс	14141	0.033535
783	ртк	14137	0.033526
784	обу	14136	0.033523
785	нып	14122	0.033490
786	ите	14101	0.033440
787	зар	14093	0.033421
788	лты	14091	0.033417
789	оом	14062	0.033348
790	зды	14039	0.033293
791	ади	14037	0.033289
792	үсү	14035	0.033284
793	бан	14023	0.033255
794	аяс	14005	0.033213
795	кса	13998	0.033196
